Id,Name,ScheduleId,TotalArrivalTime,Latitude,Longitude
235,Stop 235,2,53,12.1522848,-86.2549406
236,Stop 236,2,53,12.1512126,-86.2549667
237,Stop 237,2,53,12.1508608,-86.2525897
238,Stop 238,2,53,12.1506977,-86.2494039
239,Stop 239,2,53,12.1484197,-86.2495522
240,Stop 240,2,53,12.1441766,-86.2510199
241,Stop 241,2,53,12.1405756,-86.2511814
242,Stop 242,2,53,12.1403881,-86.2488629
243,Stop 243,2,53,12.1401591,-86.2470535
244,Stop 244,2,53,12.1389563,-86.2466998
245,Stop 245,2,53,12.1370452,-86.244494
246,Stop 246,2,53,12.1364949,-86.2429457
247,Stop 247,2,53,12.1360678,-86.2420135
248,Stop 248,2,53,12.1360855,-86.2417766
249,Stop 249,2,53,12.1374034,-86.2378867
250,Stop 250,2,53,12.137198,-86.2361023
251,Stop 251,2,53,12.1369545,-86.2339071
252,Stop 252,2,53,12.1388206,-86.2324018
253,Stop 253,2,53,12.1383414,-86.22924
254,Stop 254,2,53,12.1382632,-86.227082
255,Stop 255,2,53,12.1383216,-86.2239683
256,Stop 256,2,53,12.1383846,-86.2218424
257,Stop 257,2,53,12.1378622,-86.2185694
258,Stop 258,2,53,12.1372355,-86.2166797
259,Stop 259,2,53,12.1412129,-86.2166246
260,Stop 260,2,53,12.1421628,-86.2186855
261,Stop 261,2,53,12.1445794,-86.2185614
262,Stop 262,2,53,12.1468493,-86.2169058
263,Stop 263,2,53,12.1496561,-86.217513
264,Stop 264,2,53,12.1493612,-86.2130197
265,Stop 265,2,53,12.1488312,-86.208537
266,Stop 266,2,53,12.1483671,-86.2026442
267,Stop 267,2,53,12.153062,-86.1991373
268,Stop 268,2,53,12.1568687,-86.1988398
269,Stop 269,3,63,12.1349832,-86.1946597
270,Stop 270,3,63,12.1338965,-86.199187
271,Stop 271,3,63,12.1302349,-86.2016047
272,Stop 272,3,63,12.1277488,-86.2032044
273,Stop 273,3,63,12.1261232,-86.2048215
274,Stop 274,3,63,12.1267478,-86.2064952
275,Stop 275,3,63,12.1274807,-86.2097171
