Id,Latitude,Longitude,RouteId
176,12.138411,-86.2276274,1
177,12.1384374,-86.2277059,1
178,12.1385038,-86.2278438,1
179,12.1385917,-86.2279722,1
180,12.1385995,-86.2280513,1
181,12.1385975,-86.2281163,1
182,12.1385524,-86.2282758,1
183,12.1385215,-86.2284323,1
184,12.1384172,-86.229158,1
185,12.1384153,-86.2292106,1
186,12.1384141,-86.2292423,1
187,12.1384121,-86.2292985,1
188,12.1384327,-86.229542,1
189,12.138479,-86.2297619,1
190,12.1386607,-86.2300836,1
191,12.1389868,-86.2305017,1
192,12.139014,-86.2305473,1
193,12.139035,-86.2305969,1
194,12.1390445,-86.2306538,1
195,12.1390449,-86.2307822,1
196,12.139045,-86.2308076,1
197,12.1390556,-86.2312921,1
198,12.1390576,-86.2315899,1
199,12.1390587,-86.231952,1
200,12.1388689,-86.232424,1
201,12.1388199,-86.2325542,1
202,12.1387564,-86.2326178,1
203,12.1385734,-86.2327939,1
204,12.1384343,-86.232936,1
205,12.1383623,-86.2331215,1
206,12.138345,-86.2331695,1
207,12.1380215,-86.2331054,1
208,12.1374846,-86.2330006,1
209,12.1368912,-86.2329746,1
210,12.1369622,-86.2335553,1
211,12.1369743,-86.2336542,1
212,12.1370046,-86.2339014,1
213,12.1370827,-86.234548,1
214,12.1371431,-86.2350788,1
215,12.1371852,-86.2354488,1
216,12.137195,-86.2355562,1
217,12.1372246,-86.2358817,1
218,12.1372443,-86.2360974,1
219,12.1372691,-86.2363692,1
220,12.1373758,-86.23723,1
221,12.1374569,-86.2378844,1
222,12.1374655,-86.2379571,1
223,12.1374776,-86.2380725,1
224,12.1374816,-86.2381112,1
225,12.1374863,-86.238151,1
226,12.1375841,-86.2389873,1
227,12.1375902,-86.2390394,1
228,12.1375949,-86.239087,1
229,12.1376701,-86.239849,1
230,12.1376787,-86.2399364,1
231,12.137687,-86.2400161,1
232,12.1377725,-86.2408359,1
233,12.1376427,-86.2408497,1
234,12.1373337,-86.2408825,1
235,12.1369028,-86.2409282,1
236,12.1360264,-86.2410192,1
237,12.1360997,-86.2417741,1
238,12.1361148,-86.2419301,1
239,12.1361241,-86.2420093,1
240,12.1361782,-86.2424696,1
241,12.1362221,-86.2426041,1
242,12.1362802,-86.2426784,1
243,12.1364109,-86.2427526,1
244,12.1364722,-86.2428253,1
245,12.1365061,-86.2428979,1
246,12.1365197,-86.2429354,1
247,12.1370805,-86.2444796,1
248,12.1371419,-86.2446818,1
249,12.1373278,-86.2451905,1
250,12.1373966,-86.2453939,1
251,12.1375124,-86.2455166,1
252,12.1377809,-86.2456883,1
253,12.1387419,-86.2460049,1
254,12.1387764,-86.2460163,1
255,12.13868,-86.2463163,1
256,12.1385883,-86.2465535,1
257,12.1386329,-86.2465694,1
258,12.1389608,-86.246686,1
259,12.1391394,-86.2467495,1
260,12.1392703,-86.2467953,1
261,12.1393436,-86.2468146,1
262,12.1394677,-86.2468522,1
